Sample_Name,Day,Month,Year,Depth,DO,Temperature,pH
CBE,20,JUL,2005,2.5,,,
CBH,20,JUL,2005,0,,,
CBH,20,JUL,2005,0.5,,,
CBH,20,JUL,2005,1,,,
CBH,20,JUL,2005,1.5,,,
CBH,20,JUL,2005,2,,,
CBH,20,JUL,2005,2.5,,,
CBE,27,JUL,2005,0,7.3,24.7,
CBE,27,JUL,2005,0.5,7.3,24.2,
CBE,27,JUL,2005,1,8,22.6,
CBE,27,JUL,2005,1.5,6.3,22.1,
CBE,27,JUL,2005,2,3.1,21.4,
CBE,27,JUL,2005,2.5,,,
CBH,27,JUL,2005,0,7.3,24.7,
CBH,27,JUL,2005,0.5,7.3,24.2,
CBH,27,JUL,2005,1,8,22.6,
CBH,27,JUL,2005,1.5,6.3,22.1,
CBH,27,JUL,2005,2,3.1,21.4,
CBH,27,JUL,2005,2.5,,,
CBE,3,AUG,2005,0,7.8,27.7,
CBE,3,AUG,2005,0.5,7.9,27,
CBE,3,AUG,2005,1,7,25.1,
CBE,3,AUG,2005,1.5,6.1,22.9,
CBE,3,AUG,2005,2,0.7,20.4,
CBE,3,AUG,2005,2.5,,,
CBH,3,AUG,2005,0,7.8,27.7,
CBH,3,AUG,2005,0.5,7.9,27,
CBH,3,AUG,2005,1,7,25.1,
CBH,3,AUG,2005,1.5,6.1,22.9,
CBH,3,AUG,2005,2,0.7,20.4,
CBH,3,AUG,2005,2.5,,,
CBE,11,AUG,2005,0,7.5,23.6,
CBE,11,AUG,2005,0.5,7.5,23.7,
CBE,11,AUG,2005,1,6.9,23.5,
CBE,11,AUG,2005,1.5,5.8,23.1,
CBE,11,AUG,2005,2,0.4,21,
CBE,11,AUG,2005,2.5,,,
CBH,11,AUG,2005,0,7.5,23.6,
CBH,11,AUG,2005,0.5,7.5,23.7,
CBH,11,AUG,2005,1,6.9,23.5,
CBH,11,AUG,2005,1.5,5.8,23.1,
CBH,11,AUG,2005,2,0.4,21,
CBH,11,AUG,2005,2.5,,,
CBE,18,AUG,2005,0,,,
CBE,18,AUG,2005,0.5,,,
CBE,18,AUG,2005,1,,,
CBE,18,AUG,2005,1.5,,,
CBE,18,AUG,2005,2,,,
CBE,18,AUG,2005,2.5,,,
CBH,18,AUG,2005,0,,,
CBH,18,AUG,2005,0.5,,,
CBH,18,AUG,2005,1,,,
CBH,18,AUG,2005,1.5,,,
CBH,18,AUG,2005,2,,,
CBH,18,AUG,2005,2.5,,,
CBE,24,AUG,2005,0,,,
CBE,24,AUG,2005,0.5,,,
CBE,24,AUG,2005,1,,,
CBE,24,AUG,2005,1.5,,,
CBE,24,AUG,2005,2,,,
CBE,24,AUG,2005,2.5,,,
CBH,24,AUG,2005,0,,,
CBH,24,AUG,2005,0.5,,,
CBH,24,AUG,2005,1,,,
CBH,24,AUG,2005,1.5,,,
CBH,24,AUG,2005,2,,,
CBH,24,AUG,2005,2.5,,,
CBE,30,AUG,2005,0,,,
CBE,30,AUG,2005,0.5,,,
CBE,30,AUG,2005,1,,,
CBE,30,AUG,2005,1.5,,,
CBE,30,AUG,2005,2,,,
CBE,30,AUG,2005,2.5,,,
CBH,30,AUG,2005,0,,,
CBH,30,AUG,2005,0.5,,,
CBH,30,AUG,2005,1,,,
CBH,30,AUG,2005,1.5,,,
CBH,30,AUG,2005,2,,,
CBH,30,AUG,2005,2.5,,,
CBE,5,SEP,2005,0,9.01,16.4,
CBE,5,SEP,2005,0.5,9.34,16.4,
CBE,5,SEP,2005,1,9.34,16.3,
CBE,5,SEP,2005,1.5,6.62,15.7,
CBE,5,SEP,2005,2,5.29,15.2,
CBE,5,SEP,2005,2.5,,,
CBH,5,SEP,2005,0,9.01,16.4,
CBH,5,SEP,2005,0.5,9.34,16.4,
CBH,5,SEP,2005,1,9.34,16.3,
CBH,5,SEP,2005,1.5,6.62,15.7,
CBH,5,SEP,2005,2,5.29,15.2,
CBH,5,SEP,2005,2.5,,,
CBE,13,SEP,2005,0,7.64,19.1,
CBE,13,SEP,2005,0.5,7.84,18.9,
CBE,13,SEP,2005,1,8.02,18.8,
CBE,13,SEP,2005,1.5,6.11,17.2,
CBE,13,SEP,2005,2,3.09,15.9,
CBE,13,SEP,2005,2.5,,,
CBH,13,SEP,2005,0,7.64,19.1,
CBH,13,SEP,2005,0.5,7.84,18.9,
CBH,13,SEP,2005,1,8.02,18.8,
CBH,13,SEP,2005,1.5,6.11,17.2,
CBH,13,SEP,2005,2,3.09,15.9,
CBH,13,SEP,2005,2.5,,,
CBE,20,SEP,2005,0,5.93,16.8,
CBE,20,SEP,2005,0.5,5.98,16.9,
CBE,20,SEP,2005,1,6.13,17.2,
CBE,20,SEP,2005,1.5,6.27,17.3,
CBE,20,SEP,2005,2,6.54,17.1,
CBE,20,SEP,2005,2.5,,,
CBH,20,SEP,2005,0,5.93,16.8,
CBH,20,SEP,2005,0.5,5.98,16.9,
CBH,20,SEP,2005,1,6.13,17.2,
CBH,20,SEP,2005,1.5,6.27,17.3,
CBH,20,SEP,2005,2,6.54,17.1,
CBH,20,SEP,2005,2.5,,,
CBE,25,SEP,2005,0,7.21,15.5,
CBE,25,SEP,2005,0.5,7.08,15.3,
CBE,25,SEP,2005,1,7.08,15.5,
CBE,25,SEP,2005,1.5,6.47,15.5,
CBE,25,SEP,2005,2,6.36,15.7,
CBE,25,SEP,2005,2.5,,,
CBH,25,SEP,2005,0,7.21,15.5,
CBH,25,SEP,2005,0.5,7.08,15.3,
CBH,25,SEP,2005,1,7.08,15.5,
CBH,25,SEP,2005,1.5,6.47,15.5,
CBH,25,SEP,2005,2,6.36,15.7,
CBH,25,SEP,2005,2.5,,,
CBE,4,OCT,2005,0,,,
CBE,4,OCT,2005,0.5,,,
CBE,4,OCT,2005,1,,,
CBE,4,OCT,2005,1.5,,,
CBE,4,OCT,2005,2,,,
CBE,4,OCT,2005,2.5,,,
CBH,4,OCT,2005,0,,,
CBH,4,OCT,2005,0.5,,,
CBH,4,OCT,2005,1,,,
CBH,4,OCT,2005,1.5,,,
CBH,4,OCT,2005,2,,,
CBH,4,OCT,2005,2.5,,,
CBE,9,OCT,2005,0,6.22,15.1,
CBE,9,OCT,2005,0.5,6.05,14,
CBE,9,OCT,2005,1,5.44,13.4,
CBE,9,OCT,2005,1.5,5.32,13,
CBE,9,OCT,2005,2,5.2,12.9,
CBE,9,OCT,2005,2.5,,,
CBH,9,OCT,2005,0,6.22,15.1,
CBH,9,OCT,2005,0.5,6.05,14,
CBH,9,OCT,2005,1,5.44,13.4,
CBH,9,OCT,2005,1.5,5.32,13,
CBH,9,OCT,2005,2,5.2,12.9,
CBH,9,OCT,2005,2.5,,,
CBE,18,OCT,2005,0,,,
CBE,18,OCT,2005,0.5,,,
CBE,18,OCT,2005,1,,,
CBE,18,OCT,2005,1.5,,,
CBE,18,OCT,2005,2,,,
CBE,18,OCT,2005,2.5,,,
CBH,18,OCT,2005,0,,,
CBH,18,OCT,2005,0.5,,,
CBH,18,OCT,2005,1,,,
CBH,18,OCT,2005,1.5,,,
CBH,18,OCT,2005,2,,,
CBH,18,OCT,2005,2.5,,,
CBE,4,NOV,2005,0,,,
CBE,4,NOV,2005,0.5,,,
CBE,4,NOV,2005,1,,,
CBE,4,NOV,2005,1.5,,,
CBE,4,NOV,2005,2,,,
CBE,4,NOV,2005,2.5,,,
CBH,4,NOV,2005,0,,,
CBH,4,NOV,2005,0.5,,,
CBH,4,NOV,2005,1,,,
CBH,4,NOV,2005,1.5,,,
CBH,4,NOV,2005,2,,,
CBH,4,NOV,2005,2.5,,,
CBE,18,NOV,2005,0,,,
CBE,18,NOV,2005,0.5,,,
CBE,18,NOV,2005,1,,,
CBE,18,NOV,2005,1.5,,,
CBE,18,NOV,2005,2,,,
CBE,18,NOV,2005,2.5,,,
CBH,18,NOV,2005,0,,,
CBH,18,NOV,2005,0.5,,,
CBH,18,NOV,2005,1,,,
CBH,18,NOV,2005,1.5,,,
CBH,18,NOV,2005,2,,,
CBH,18,NOV,2005,2.5,,,
TBE,1,JUN,2005,0,9.2,20.4,
TBE,1,JUN,2005,1,5.4,11.3,
TBE,1,JUN,2005,2,1.2,6.2,
TBE,1,JUN,2005,3,1.1,5.4,
TBE,1,JUN,2005,4,1,4.9,
TBE,1,JUN,2005,5,0.9,4.6,
TBE,1,JUN,2005,6,0.9,4.5,
TBE,1,JUN,2005,7,0.7,4.4,
TBH,1,JUN,2005,0,9.2,20.4,
TBH,1,JUN,2005,1,5.4,11.3,
TBH,1,JUN,2005,2,1.2,6.2,
TBH,1,JUN,2005,3,1.1,5.4,
TBH,1,JUN,2005,4,1,4.9,
TBH,1,JUN,2005,5,0.9,4.6,
TBH,1,JUN,2005,6,0.9,4.5,
TBH,1,JUN,2005,7,0.7,4.4,
TBE,8,JUN,2005,0,7.7,21,
TBE,8,JUN,2005,1,7,20,
TBE,8,JUN,2005,2,0.7,10.8,
TBE,8,JUN,2005,3,0.6,6.5,
TBE,8,JUN,2005,4,0.6,5.5,
TBE,8,JUN,2005,5,0.7,5.1,
TBE,8,JUN,2005,6,0.8,4.9,
TBE,8,JUN,2005,7,0.9,5.2,
TBH,8,JUN,2005,0,7.7,21,
TBH,8,JUN,2005,1,7,20,
TBH,8,JUN,2005,2,0.7,10.8,
TBH,8,JUN,2005,3,0.6,6.5,
TBH,8,JUN,2005,4,0.6,5.5,
TBH,8,JUN,2005,5,0.7,5.1,
TBH,8,JUN,2005,6,0.8,4.9,
TBH,8,JUN,2005,7,0.9,5.2,
TBE,15,JUN,2005,0,6.1,20.6,
TBE,15,JUN,2005,1,6.1,20.4,
TBE,15,JUN,2005,2,0.6,10.9,
TBE,15,JUN,2005,3,0.7,6.6,
TBE,15,JUN,2005,4,0.5,5.3,
TBE,15,JUN,2005,5,0.5,4.7,
TBE,15,JUN,2005,6,0.5,4.6,
TBE,15,JUN,2005,7,0.5,4.5,
TBH,15,JUN,2005,0,6.1,20.6,
TBH,15,JUN,2005,1,6.1,20.4,
TBH,15,JUN,2005,2,0.6,10.9,
TBH,15,JUN,2005,3,0.7,6.6,
TBH,15,JUN,2005,4,0.5,5.3,
TBH,15,JUN,2005,5,0.5,4.7,
TBH,15,JUN,2005,6,0.5,4.6,
TBH,15,JUN,2005,7,0.5,4.5,
TBE,22,JUN,2005,0,7.8,24.4,
TBE,22,JUN,2005,1,3.4,20.8,
TBE,22,JUN,2005,2,0.5,11.9,
TBE,22,JUN,2005,3,0.4,7.6,
TBE,22,JUN,2005,4,0.4,6.1,
TBE,22,JUN,2005,5,0.4,5.1,
TBE,22,JUN,2005,6,0.4,4.9,
TBE,22,JUN,2005,7,0.3,4.8,
TBH,22,JUN,2005,0,7.8,24.4,
TBH,22,JUN,2005,1,3.4,20.8,
TBH,22,JUN,2005,2,0.5,11.9,
TBH,22,JUN,2005,3,0.4,7.6,
TBH,22,JUN,2005,4,0.4,6.1,
TBH,22,JUN,2005,5,0.4,5.1,
TBH,22,JUN,2005,6,0.4,4.9,
TBH,22,JUN,2005,7,0.3,4.8,
TBE,29,JUN,2005,0,6.5,23.9,
TBE,29,JUN,2005,1,6.5,23.9,
TBE,29,JUN,2005,2,5,23,
TBE,29,JUN,2005,3,0.6,13.6,
TBE,29,JUN,2005,4,0.4,8,
TBE,29,JUN,2005,5,0.2,5.7,
TBE,29,JUN,2005,6,0.2,5,
TBE,29,JUN,2005,7,0.2,4.9,
TBH,29,JUN,2005,0,6.5,23.9,
TBH,29,JUN,2005,1,6.5,23.9,
TBH,29,JUN,2005,2,5,23,
TBH,29,JUN,2005,3,0.6,13.6,
TBH,29,JUN,2005,4,0.4,8,
TBH,29,JUN,2005,5,0.2,5.7,
TBH,29,JUN,2005,6,0.2,5,
TBH,29,JUN,2005,7,0.2,4.9,
TBE,6,JUL,2005,0,6.5,21.4,
TBE,6,JUL,2005,1,5.8,20.7,
TBE,6,JUL,2005,2,1.4,14.1,
TBE,6,JUL,2005,3,2.1,8.2,
TBE,6,JUL,2005,4,2.7,6.3,
TBE,6,JUL,2005,5,2.4,5.2,
TBE,6,JUL,2005,6,2.4,5.1,
TBE,6,JUL,2005,7,2.4,4.8,
TBH,6,JUL,2005,0,6.5,21.4,
TBH,6,JUL,2005,1,5.8,20.7,
TBH,6,JUL,2005,2,1.4,14.1,
TBH,6,JUL,2005,3,2.1,8.2,
TBH,6,JUL,2005,4,2.7,6.3,
TBH,6,JUL,2005,5,2.4,5.2,
TBH,6,JUL,2005,6,2.4,5.1,
TBH,6,JUL,2005,7,2.4,4.8,
TBE,13,JUL,2005,0,6.6,29.6,
TBE,13,JUL,2005,1,2.7,24,
TBE,13,JUL,2005,2,1.6,14.5,
TBE,13,JUL,2005,3,2.2,9.5,
TBE,13,JUL,2005,4,2.1,6.4,
TBE,13,JUL,2005,5,2.4,5.3,
TBE,13,JUL,2005,6,2.4,4.9,
TBE,13,JUL,2005,7,2.5,4.8,
TBH,13,JUL,2005,0,6.6,29.6,
TBH,13,JUL,2005,1,2.7,24,
TBH,13,JUL,2005,2,1.6,14.5,
TBH,13,JUL,2005,3,2.2,9.5,
TBH,13,JUL,2005,4,2.1,6.4,
TBH,13,JUL,2005,5,2.4,5.3,
TBH,13,JUL,2005,6,2.4,4.9,
TBH,13,JUL,2005,7,2.5,4.8,
TBE,20,JUL,2005,0,5.6,24.4,
TBE,20,JUL,2005,1,5.6,20.9,
TBE,20,JUL,2005,2,0.6,14.1,
TBE,20,JUL,2005,3,0.6,8.2,
TBE,20,JUL,2005,4,0.8,6.6,
TBE,20,JUL,2005,5,0.9,5.4,
TBE,20,JUL,2005,6,,,
TBE,20,JUL,2005,7,,,
TBH,20,JUL,2005,0,5.6,24.4,
TBH,20,JUL,2005,1,5.6,20.9,
TBH,20,JUL,2005,2,0.6,14.1,
TBH,20,JUL,2005,3,0.6,8.2,
TBH,20,JUL,2005,4,0.8,6.6,
TBH,20,JUL,2005,5,0.9,5.4,
TBH,20,JUL,2005,6,,,
TBH,20,JUL,2005,7,,,
TBE,27,JUL,2005,0,6.6,20.6,
TBE,27,JUL,2005,1,6.4,18.7,
TBE,27,JUL,2005,2,1.7,12.7,
TBE,27,JUL,2005,3,2.2,4.3,
TBE,27,JUL,2005,4,1.9,4.3,
TBE,27,JUL,2005,5,2,3.8,
TBE,27,JUL,2005,6,1.9,4,
TBE,27,JUL,2005,7,0.7,4.4,
TBH,27,JUL,2005,0,6.6,20.6,
TBH,27,JUL,2005,1,6.4,18.7,
TBH,27,JUL,2005,2,1.7,12.7,
TBH,27,JUL,2005,3,2.2,4.3,
TBH,27,JUL,2005,4,1.9,4.3,
TBH,27,JUL,2005,5,2,3.8,
TBH,27,JUL,2005,6,1.9,4,
TBH,27,JUL,2005,7,0.7,4.4,
TBE,3,AUG,2005,0,7,26.8,
TBE,3,AUG,2005,1,4.9,22.7,
TBE,3,AUG,2005,2,0.4,15,
TBE,3,AUG,2005,3,0.5,6.5,
TBE,3,AUG,2005,4,0.7,4.9,
TBE,3,AUG,2005,5,0.7,4.3,
TBE,3,AUG,2005,6,0.7,4.1,
TBE,3,AUG,2005,7,2.4,5.2,
TBH,3,AUG,2005,0,7,26.8,
TBH,3,AUG,2005,1,4.9,22.7,
TBH,3,AUG,2005,2,0.4,15,
TBH,3,AUG,2005,3,0.5,6.5,
TBH,3,AUG,2005,4,0.7,4.9,
TBH,3,AUG,2005,5,0.7,4.3,
TBH,3,AUG,2005,6,0.7,4.1,
TBH,3,AUG,2005,7,2.4,5.2,
TBE,11,AUG,2005,0,7.4,28.1,
TBE,11,AUG,2005,1,7.1,23.7,
TBE,11,AUG,2005,2,1.5,16.7,
TBE,11,AUG,2005,3,2.6,8.1,
TBE,11,AUG,2005,4,2.6,6.2,
TBE,11,AUG,2005,5,2.6,5.5,
TBE,11,AUG,2005,6,2.5,5.2,
TBE,11,AUG,2005,7,6.5,1.8,
TBH,11,AUG,2005,0,7.4,28.1,
TBH,11,AUG,2005,1,7.1,23.7,
TBH,11,AUG,2005,2,1.5,16.7,
TBH,11,AUG,2005,3,2.6,8.1,
TBH,11,AUG,2005,4,2.6,6.2,
TBH,11,AUG,2005,5,2.6,5.5,
TBH,11,AUG,2005,6,2.5,5.2,
TBH,11,AUG,2005,7,6.5,1.8,
TBE,18,AUG,2005,0,,,
TBE,18,AUG,2005,1,,,
TBE,18,AUG,2005,2,,,
TBE,18,AUG,2005,3,,,
TBE,18,AUG,2005,4,,,
TBE,18,AUG,2005,5,,,
TBE,18,AUG,2005,6,,,
TBE,18,AUG,2005,7,,,
TBH,18,AUG,2005,0,,,
TBH,18,AUG,2005,1,,,
TBH,18,AUG,2005,2,,,
TBH,18,AUG,2005,3,,,
TBH,18,AUG,2005,4,,,
TBH,18,AUG,2005,5,,,
TBH,18,AUG,2005,6,,,
TBH,18,AUG,2005,7,,,
TBE,24,AUG,2005,0,6.7,17.5,
TBE,24,AUG,2005,1,6.8,14.3,
TBE,24,AUG,2005,2,0.6,11,
TBE,24,AUG,2005,3,0.7,1.9,
TBE,24,AUG,2005,4,,,
TBE,24,AUG,2005,5,,,
TBE,24,AUG,2005,6,,,
TBE,24,AUG,2005,7,,,
TBH,24,AUG,2005,0,6.7,17.5,
TBH,24,AUG,2005,1,6.8,14.3,
TBH,24,AUG,2005,2,0.6,11,
TBH,24,AUG,2005,3,0.7,1.9,
TBH,24,AUG,2005,4,,,
TBH,24,AUG,2005,5,,,
TBH,24,AUG,2005,6,,,
TBH,24,AUG,2005,7,,,
TBE,30,AUG,2005,0,8.63,20.7,
TBE,30,AUG,2005,1,8.42,15,
TBE,30,AUG,2005,2,0.47,7.4,
TBE,30,AUG,2005,3,0.63,5.7,
TBE,30,AUG,2005,4,0.74,5.7,
TBE,30,AUG,2005,5,0.81,4.2,
TBE,30,AUG,2005,6,0.8,3.3,
TBE,30,AUG,2005,7,0.83,3.2,
TBH,30,AUG,2005,0,8.63,20.7,
TBH,30,AUG,2005,1,8.42,15,
TBH,30,AUG,2005,2,0.47,7.4,
TBH,30,AUG,2005,3,0.63,5.7,
TBH,30,AUG,2005,4,0.74,5.7,
TBH,30,AUG,2005,5,0.81,4.2,
TBH,30,AUG,2005,6,0.8,3.3,
TBH,30,AUG,2005,7,0.83,3.2,
TBE,5,SEP,2005,0,8.15,23.1,
TBE,5,SEP,2005,1,8.01,15.7,
TBE,5,SEP,2005,2,0.37,11.6,
TBE,5,SEP,2005,3,0.42,7.6,
TBE,5,SEP,2005,4,0.42,7.6,
TBE,5,SEP,2005,5,0.46,5.7,
TBE,5,SEP,2005,6,0.54,5,
TBE,5,SEP,2005,7,0.57,4.6,
TBH,5,SEP,2005,0,8.15,23.1,
TBH,5,SEP,2005,1,8.01,15.7,
TBH,5,SEP,2005,2,0.37,11.6,
TBH,5,SEP,2005,3,0.42,7.6,
TBH,5,SEP,2005,4,0.42,7.6,
TBH,5,SEP,2005,5,0.46,5.7,
TBH,5,SEP,2005,6,0.54,5,
TBH,5,SEP,2005,7,0.57,4.6,
TBE,13,SEP,2005,0,8.71,19.7,
TBE,13,SEP,2005,1,8.5,12.9,
TBE,13,SEP,2005,2,0.47,6.8,
TBE,13,SEP,2005,3,0.6,5.8,
TBE,13,SEP,2005,4,0.57,5.8,
TBE,13,SEP,2005,5,0.66,4.4,
TBE,13,SEP,2005,6,0.65,3.9,
TBE,13,SEP,2005,7,0.66,3.9,
TBH,13,SEP,2005,0,8.71,19.7,
TBH,13,SEP,2005,1,8.5,12.9,
TBH,13,SEP,2005,2,0.47,6.8,
TBH,13,SEP,2005,3,0.6,5.8,
TBH,13,SEP,2005,4,0.57,5.8,
TBH,13,SEP,2005,5,0.66,4.4,
TBH,13,SEP,2005,6,0.65,3.9,
TBH,13,SEP,2005,7,0.66,3.9,
TBE,20,SEP,2005,0,8.02,19.2,
TBE,20,SEP,2005,1,7.06,15.7,
TBE,20,SEP,2005,2,0.49,12.1,
TBE,20,SEP,2005,3,0.5,9.1,
TBE,20,SEP,2005,4,0.55,9.1,
TBE,20,SEP,2005,5,0.52,7.3,
TBE,20,SEP,2005,6,0.56,5.7,
TBE,20,SEP,2005,7,0.71,5.5,
TBH,20,SEP,2005,0,8.02,19.2,
TBH,20,SEP,2005,1,7.06,15.7,
TBH,20,SEP,2005,2,0.49,12.1,
TBH,20,SEP,2005,3,0.5,9.1,
TBH,20,SEP,2005,4,0.55,9.1,
TBH,20,SEP,2005,5,0.52,7.3,
TBH,20,SEP,2005,6,0.56,5.7,
TBH,20,SEP,2005,7,0.71,5.5,
TBE,25,SEP,2005,0,8.04,11.5,
TBE,25,SEP,2005,1,7.87,10.3,
TBE,25,SEP,2005,2,1.53,5.3,
TBE,25,SEP,2005,3,0.61,1.6,
TBE,25,SEP,2005,4,0.68,1.6,
TBE,25,SEP,2005,5,0.74,0.3,
TBE,25,SEP,2005,6,0.86,-0.4,
TBE,25,SEP,2005,7,0.85,-1,
TBH,25,SEP,2005,0,8.04,11.5,
TBH,25,SEP,2005,1,7.87,10.3,
TBH,25,SEP,2005,2,1.53,5.3,
TBH,25,SEP,2005,3,0.61,1.6,
TBH,25,SEP,2005,4,0.68,1.6,
TBH,25,SEP,2005,5,0.74,0.3,
TBH,25,SEP,2005,6,0.86,-0.4,
TBH,25,SEP,2005,7,0.85,-1,
TBE,4,OCT,2005,0,,,
TBE,4,OCT,2005,1,,,
TBE,4,OCT,2005,2,,,
TBE,4,OCT,2005,3,,,
TBE,4,OCT,2005,4,,,
TBE,4,OCT,2005,5,,,
TBE,4,OCT,2005,6,,,
TBE,4,OCT,2005,7,,,
TBH,4,OCT,2005,0,,,
TBH,4,OCT,2005,1,,,
TBH,4,OCT,2005,2,,,
TBH,4,OCT,2005,3,,,
TBH,4,OCT,2005,4,,,
TBH,4,OCT,2005,5,,,
TBH,4,OCT,2005,6,,,
TBH,4,OCT,2005,7,,,
TBE,9,OCT,2005,0,7.12,15.8,
TBE,9,OCT,2005,1,5.54,11.4,
TBE,9,OCT,2005,2,6.01,10.6,
TBE,9,OCT,2005,3,0.19,6.8,
TBE,9,OCT,2005,4,0.13,6.8,
TBE,9,OCT,2005,5,0.12,5.3,
TBE,9,OCT,2005,6,0.11,5,
TBE,9,OCT,2005,7,0.11,4.7,
TBH,9,OCT,2005,0,7.12,15.8,
TBH,9,OCT,2005,1,5.54,11.4,
TBH,9,OCT,2005,2,6.01,10.6,
TBH,9,OCT,2005,3,0.19,6.8,
TBH,9,OCT,2005,4,0.13,6.8,
TBH,9,OCT,2005,5,0.12,5.3,
TBH,9,OCT,2005,6,0.11,5,
TBH,9,OCT,2005,7,0.11,4.7,
TBE,17,OCT,2005,0,10.75,10.4,
TBE,17,OCT,2005,1,9.15,10.1,
TBE,17,OCT,2005,2,8.79,9.9,
TBE,17,OCT,2005,3,6.46,8.5,
TBE,17,OCT,2005,4,1.36,8.5,
TBE,17,OCT,2005,5,1.5,6.2,
TBE,17,OCT,2005,6,1.63,5.4,
TBE,17,OCT,2005,7,1.7,4.6,
TBH,17,OCT,2005,0,10.75,10.4,
TBH,17,OCT,2005,1,9.15,10.1,
TBH,17,OCT,2005,2,8.79,9.9,
TBH,17,OCT,2005,3,6.46,8.5,
TBH,17,OCT,2005,4,1.36,8.5,
